min,max,mean,date,Moderately_Dry,Severely_Dry,Extreamly_Dry,No_Drought
0.38,3.25,0.21,1/1/2020,0.14,0.05,0.01,99.79
0.25,3.25,0.4,1/9/2020,2.52,4.05,0.21,93.22
0.13,3,0.9,1/17/2020,2.41,22.76,0,74.84
0.13,3.25,0.96,1/25/2020,6.59,23,1,69.41
0,3.5,1.47,2/2/2020,23.57,30.52,0.26,45.65
0,3.25,1.97,2/10/2020,20.44,53.27,0.23,26.06
0.25,3.25,2.31,2/18/2020,11.59,68.28,0.41,19.72
0,3,2.22,2/26/2020,8.46,69.57,0,21.97
0,3.75,2.31,3/5/2020,7.87,55.34,18.56,18.23
0.5,3,1.81,3/13/2020,15.11,47.3,0.33,37.59
1,3,1.29,3/21/2020,32.31,20,0.09,47.68
1,3,1.16,3/29/2020,10.93,18.23,4.902363636,70.84
0.88,3,1.12,4/6/2020,3.54,23.27,5.399727273,73.19
1,3.25,0.82,4/14/2020,9.04,9.26,0.01,81.68
0.5,3,0.74,4/22/2020,1.08,3.22,4.712428571,95.7
0.88,2.63,0.79,4/30/2020,0.1,0.08,5.04158961,99.82
0.88,1.88,0.58,5/8/2020,0.04,21.938,5.370750649,99.96
1,1,0.53,5/16/2020,7.528161765,21.22335294,5.699911688,100
0.5,1,0.45,5/24/2020,7.346715686,20.50870588,6.029072727,100
0.63,1,0.44,6/1/2020,7.165269608,19.79405882,6.358233766,100
0.63,1,0.74,6/9/2020,6.983823529,19.07941176,6.687394805,100
0.25,1,0.61,6/17/2020,6.802377451,18.36476471,7.016555844,100
0.88,1,0.62,6/25/2020,6.620931373,17.65011765,7.345716883,100
0.25,1,0.48,7/3/2020,6.439485294,16.93547059,7.674877922,100
1,1,0.5,7/11/2020,6.258039216,16.22082353,8.004038961,100
1,1,0.45,7/19/2020,6.076593137,15.50617647,8.3332,100
0.25,1,0.36,7/27/2020,5.895147059,14.79152941,8.662361039,100
0.63,1,0.42,8/4/2020,5.71370098,14.07688235,8.991522078,100
0.5,1,0.71,8/12/2020,5.532254902,13.36223529,9.320683117,100
0.75,1,0.86,8/20/2020,5.350808824,12.64758824,9.649844156,100
0.38,1,0.96,8/28/2020,5.169362745,11.93294118,9.979005195,100
0,1,0.66,9/5/2020,4.987916667,11.21829412,10.30816623,100
0,1,0.5,9/13/2020,4.806470588,10.50364706,10.63732727,100
0,1,0.75,9/21/2020,4.62502451,9.789,10.96648831,100
0,1,0.94,9/29/2020,4.443578431,9.074352941,11.29564935,100
0,1,0.89,10/7/2020,4.262132353,8.359705882,11.62481039,100
0.13,1,0.72,10/15/2020,4.080686275,7.645058824,11.95397143,100
0.13,1,0.71,10/23/2020,3.899240196,6.930411765,12.28313247,100
0.75,1,0.66,10/31/2020,3.717794118,6.215764706,12.61229351,100
0.5,1,0.93,11/8/2020,3.536348039,5.501117647,12.94145455,100
0,1,0.82,11/16/2020,3.354901961,4.786470588,13.27061558,100
0.5,1,0.92,11/24/2020,3.173455882,4.071823529,13.59977662,100
0.75,1,0.88,12/2/2020,2.992009804,3.357176471,13.92893766,100
1,1,0.84,12/10/2020,2.810563725,2.642529412,14.2580987,100
0.88,1,0.8,12/18/2020,2.629117647,1.927882353,14.58725974,100
