min,max,mean,date
24.96,61.63,24.96,1/1/2020
21.22,58.29,21.22,1/9/2020
16.74,53.08,16.74,1/17/2020
11.88,46.16,11.88,1/25/2020
9.52,39.59,9.52,2/2/2020
7.82,38.7,7.82,2/10/2020
7.04,36.27,7.04,2/18/2020
7.36,33.65,7.36,2/26/2020
5.51,31.43,5.51,3/5/2020
6.12,38.55,6.12,3/13/2020
11.22,38.17,11.22,3/21/2020
16.81,56.75,16.81,3/29/2020
15.92,52.11,15.92,4/6/2020
17.07,53.4,17.07,4/14/2020
25.23,61.2,25.23,4/22/2020
35.96,88.91,35.96,4/30/2020
39.03,82.93,39.03,5/8/2020
40.82,84.92,40.82,5/16/2020
43.2,91.98,43.2,5/24/2020
47.92,99.54,47.92,6/1/2020
56.27,98.74,56.27,6/9/2020
55.44,93.27,55.44,6/17/2020
56.76,91.76,56.76,6/25/2020
56.39,92.33,56.39,7/3/2020
60.08,96.78,60.08,7/11/2020
63.1,97.55,63.1,7/19/2020
66.45,97.9,66.45,7/27/2020
72.91,99.52,72.91,8/4/2020
84.52,99.88,84.52,8/12/2020
91.12,99.91,91.12,8/20/2020
93.74,99.91,93.74,8/28/2020
86.85,99.6,86.85,9/5/2020
82.77,99.01,82.77,9/13/2020
85.74,99.5,85.74,9/21/2020
89.56,99.8,89.56,9/29/2020
87.18,99.85,87.18,10/7/2020
85.04,99.81,85.04,10/15/2020
81.32,99.91,81.32,10/23/2020
75.95,99.71,75.95,10/31/2020
72.57,99.38,72.57,11/8/2020
67.77,99.19,67.77,11/16/2020
62.24,98.82,62.24,11/24/2020
56.42,96.4,56.42,12/2/2020
50.37,90.68,50.37,12/10/2020
44.59,83.53,44.59,12/18/2020
39.46,81.25,39.46,12/26/2020
36.01,80.93,36.01,1/1/2021
30.92,76.31,30.92,1/9/2021
26.41,78.55,26.41,1/17/2021
22.01,76.93,22.01,1/25/2021
17.18,69.88,17.18,2/2/2021
15.02,61.29,15.02,2/10/2021
16.98,63.46,16.98,2/18/2021
16.63,53.08,16.63,2/26/2021
14.63,51.14,14.63,3/6/2021
9.87,39.03,9.87,3/14/2021
7.71,36.49,7.71,3/22/2021
16.91,49.83,16.91,3/30/2021
19.75,53.5,19.75,4/7/2021
24.17,61.36,24.17,4/15/2021
30.51,80.93,30.51,4/23/2021
36.77,76.13,36.77,5/1/2021
45.36,92.16,45.36,5/9/2021
46.13,85.87,46.13,5/17/2021
45.54,92.1,45.54,5/25/2021
50.62,94.62,50.62,6/2/2021
51.52,87.09,51.52,6/10/2021
62.17,96.18,62.17,6/18/2021
65.64,96.58,65.64,6/26/2021
60.31,93.93,60.31,7/4/2021
62.36,94.04,62.36,7/12/2021
70.47,97.92,70.47,7/20/2021
77.99,99.88,77.99,7/28/2021
82.69,99.75,82.69,8/5/2021
79.73,98.96,79.73,8/13/2021
80.66,98.79,80.66,8/21/2021
81.1,98.9,81.1,8/29/2021
81.31,99.84,81.31,9/6/2021
86.53,99.83,86.53,9/14/2021
88.35,99.84,88.35,9/22/2021
87.75,99.8,87.75,9/30/2021
83.13,99.49,83.13,10/8/2021
80.65,99.64,80.65,10/16/2021
79.14,99.84,79.14,10/24/2021
75.13,99.42,75.13,11/1/2021
70.99,98.52,70.99,11/9/2021
65.92,95.07,65.92,11/17/2021
60.41,88.29,60.41,11/25/2021
55.41,87.45,55.41,12/3/2021
50.59,80.87,50.59,12/11/2021
44.87,76.81,44.87,12/19/2021
39.45,79.4,39.45,12/27/2021
36.76,82.95,36.76,1/1/2022
32.76,77.51,32.76,1/9/2022
27.9,81.74,27.9,1/17/2022
23.98,77.3,23.98,1/25/2022
21.34,74.89,21.34,2/2/2022
19.7,70.28,19.7,2/10/2022
17.6,56.77,17.6,2/18/2022
28.18,64.6,28.18,2/26/2022
31.71,76.83,31.71,3/6/2022
26.36,59.98,26.36,3/14/2022
30.08,72.04,30.08,3/22/2022
38.39,75.19,38.39,3/30/2022
38.77,73.24,38.77,4/7/2022
30.23,57.85,30.23,4/15/2022
28.82,58.33,28.82,4/23/2022
32.74,62.26,32.74,5/1/2022
36.7,84.38,36.7,5/9/2022
46.1,98.6,46.1,5/17/2022
59.85,99.65,59.85,5/25/2022
70.39,99.64,70.39,6/2/2022
74.03,99.16,74.03,6/10/2022
70.22,98.87,70.22,6/18/2022
68.23,95.6,68.23,6/26/2022
66.63,94.49,66.63,7/4/2022
74.71,98.96,74.71,7/12/2022
84.99,99.82,84.99,7/20/2022
85.89,99.87,85.89,7/28/2022
83.5,99.64,83.5,8/5/2022
89.15,99.72,89.15,8/13/2022
94.64,99.91,94.64,8/21/2022
93.45,99.85,93.45,8/29/2022
89.85,99.42,89.85,9/6/2022
86.97,99.49,86.97,9/14/2022
87.25,99.5,87.25,9/22/2022
85.76,99.92,85.76,9/30/2022
86.51,99.88,86.51,10/8/2022
81.42,99.48,81.42,10/16/2022
73.42,98.7,73.42,10/24/2022
66.09,97.03,66.09,11/1/2022
59.37,94.78,59.37,11/9/2022
52.14,88.88,52.14,11/17/2022
47.32,87.02,47.32,11/25/2022
49.73,93.37,49.73,12/3/2022
49.34,93.23,49.34,12/11/2022
44.28,88.63,44.28,12/19/2022
39.11,84.71,39.11,12/27/2022
