min,max,mean,date
0,5.54,0.6,1/1/2020
0,6.98,0.22,1/9/2020
0,5.69,0.1,1/17/2020
0,8.12,0.39,1/25/2020
0,5.45,0.26,2/2/2020
0,3.13,0.48,2/10/2020
0,3,0.72,2/18/2020
0,3.48,0.48,2/26/2020
0,4.4,0.4,3/5/2020
0,4.74,0.72,3/13/2020
0,18.06,3.05,3/21/2020
0,12.49,0.78,3/29/2020
0,9.68,1.15,4/6/2020
0,12.4,3.42,4/14/2020
0,17.62,5.44,4/22/2020
0,24.29,4.75,4/30/2020
0,23.26,4.69,5/8/2020
0,25.44,5.56,5/16/2020
0.4,37.63,8.19,5/24/2020
0.87,37.33,11.96,6/1/2020
0.09,21.57,5.05,6/9/2020
0.59,25.77,8.02,6/17/2020
0,17.93,5.56,6/25/2020
0,36.94,8.71,7/3/2020
0,29.66,7.3,7/11/2020
1,23.39,8.41,7/19/2020
1.81,33.49,11.19,7/27/2020
0,46.62,19.52,8/4/2020
2.91,41.4,14.68,8/12/2020
3.54,47.5,19.62,8/20/2020
0,37.24,9.75,8/28/2020
0,15.13,4.8,9/5/2020
2.04,32.96,10.9,9/13/2020
1.35,48.27,13.83,9/21/2020
0,29.13,9.1,9/29/2020
0,31.94,7.65,10/7/2020
0,56.91,7.26,10/15/2020
0,46.75,5.44,10/23/2020
0,48.1,5.71,10/31/2020
0,38.37,2.5,11/8/2020
0,27.5,1.94,11/16/2020
0,4.37,0.33,11/24/2020
0,7.23,0.16,12/2/2020
0,6.84,0.12,12/10/2020
0,8.83,0.49,12/18/2020
0,22,0.65,12/26/2020
0,11.37,0.57,1/1/2021
0,15.94,0.28,1/9/2021
0,10.95,0.48,1/17/2021
0,7.03,0.11,1/25/2021
0,5.15,0.7,2/2/2021
0,13.7,1.43,2/10/2021
0,6.07,1.48,2/18/2021
0,4.82,1.11,2/26/2021
0,4.88,0.48,3/6/2021
0,3.46,0.1,3/14/2021
0,14.81,3.12,3/22/2021
0,9.37,1.11,3/30/2021
0,12.26,3.35,4/7/2021
0,11.76,3.07,4/15/2021
0,11.28,3.44,4/23/2021
1.12,25.09,9.37,5/1/2021
0,13.28,4.42,5/9/2021
0,14.97,4.96,5/17/2021
0,29.15,8.99,5/25/2021
0,13.94,3.56,6/2/2021
1.98,34.83,11.82,6/10/2021
0,40.48,12.8,6/18/2021
0,13.85,4.11,6/26/2021
0,21.25,4.7,7/4/2021
2.43,34.86,13.43,7/12/2021
1.46,67.98,13.66,7/20/2021
0,49.62,14.36,7/28/2021
0,34.42,10.69,8/5/2021
0,36.94,8.64,8/13/2021
0,33.39,9.58,8/21/2021
0,36.53,8.17,8/29/2021
0,32.4,11.81,9/6/2021
0,63.46,16.66,9/14/2021
1.43,24.68,9.26,9/22/2021
0,39.34,9.67,9/30/2021
0,40.76,7.82,10/8/2021
0,46.23,7.94,10/16/2021
0,34.07,5.66,10/24/2021
0,17.06,3.09,11/1/2021
0,11.4,1.03,11/9/2021
0,12.28,0.8,11/17/2021
0,5.81,0.48,11/25/2021
0,14.82,1.2,12/3/2021
0,1.64,0.17,12/11/2021
0,16.62,0.76,12/19/2021
0,3.26,0.41,12/27/2021
0,5.69,0.7,1/1/2022
0,10.82,0.31,1/9/2022
0,8.25,0.35,1/17/2022
0,11.32,0.6,1/25/2022
0,6.85,1.03,2/2/2022
0,3.17,0.56,2/10/2022
0,8.9,0.51,2/18/2022
0,19.31,5.38,2/26/2022
0,6.27,0.32,3/6/2022
0,11.51,2.22,3/14/2022
0,17.84,6.05,3/22/2022
0,21.49,4.98,3/30/2022
0,12.73,0.62,4/7/2022
0,4.93,1.18,4/15/2022
0,13.8,4.45,4/23/2022
0,35.39,8.55,5/1/2022
0,24.48,4.03,5/9/2022
0,40.51,13.91,5/17/2022
2.43,38.35,13.61,5/25/2022
2.98,33.81,12.11,6/2/2022
0,21.88,5.73,6/10/2022
0.79,19.34,7.14,6/18/2022
0.14,19.44,5.75,6/26/2022
0.67,53.12,10.31,7/4/2022
4.77,55.89,20.97,7/12/2022
2.9,46.76,11.86,7/20/2022
0,38.17,8.17,7/28/2022
0.84,38.1,13.66,8/5/2022
0,51.9,20.01,8/13/2022
3.63,65.14,15.09,8/21/2022
2.5,31.84,11.05,8/29/2022
0,27.5,8.37,9/6/2022
0,26.59,9.77,9/14/2022
0,43.71,8.97,9/22/2022
0.28,51.09,12.6,9/30/2022
0,33.4,7.11,10/8/2022
0,46.55,4.45,10/16/2022
0,8.14,0.52,10/24/2022
0,21.15,1.45,11/1/2022
0,2.4,0.29,11/9/2022
0,7.97,0.53,11/17/2022
0,23.44,3.69,11/25/2022
0,26.72,2.5,12/3/2022
0,10.99,0.33,12/11/2022
0,4.07,0.42,12/19/2022
0,12.59,0.37,12/27/2022
