min,max,mean,date,exd,sed,mod,normal or wet
7.1,47.94,24.26,1/1/2020,0,0.08,15.89,84.04
7.1,50.35,23.91,1/9/2020,0,0.08,17.98,81.94
7.1,50.45,22.46,1/17/2020,0,0.08,21.38,78.54
7.1,51.35,21.5,1/25/2020,0,0.08,24.4,75.52
7.1,50.51,21.71,2/2/2020,0,0.08,23.04,76.88
7.4,44.49,21.12,2/10/2020,0,0.05,24.85,75.1
7.65,46.16,21.26,2/18/2020,0,0.05,19.9,80.05
7.1,43.63,21.05,2/26/2020,0,0.08,20.4,79.52
7.23,43.51,20.5,3/5/2020,0,0.08,24.97,74.95
9.11,42.3,21.26,3/13/2020,0,0.05,21.13,78.81
7.79,50.89,25.81,3/21/2020,0,0.05,10.39,89.55
7.1,52.52,27.2,3/29/2020,0,0.05,13.37,86.58
10.02,52.42,25.73,4/6/2020,0,0,12.62,87.38
10.28,53.42,29.75,4/14/2020,0,0,7.77,92.23
11.65,55.71,35.3,4/22/2020,0,0,5.8,94.2
13.23,55.24,39.21,4/30/2020,0,0,3.88,96.12
12.33,56.22,39.48,5/8/2020,0,0,3.18,96.82
13.74,57.13,42.46,5/16/2020,0,0,0.44,99.56
14.64,58.27,42.91,5/24/2020,0,0,0.04,99.96
15.89,57.89,46.09,6/1/2020,0,0,0.03,99.97
13.72,56.53,43.5,6/9/2020,0,0,0.13,99.87
15.38,57.31,44.72,6/17/2020,0,0,0.04,99.96
12.89,56.49,43.31,6/25/2020,0,0,0.26,99.74
16.59,58.08,44.44,7/3/2020,0,0,0.1,99.9
12.78,60.73,44.31,7/11/2020,0,0,0.54,99.46
15.54,59.1,44.99,7/19/2020,0,0,0.09,99.91
16.96,60.82,46.6,7/27/2020,0,0,0.06,99.94
17.87,62.21,48.01,8/4/2020,0,0,0.01,99.99
17.34,61.85,47.98,8/12/2020,0,0,0.01,99.99
17.28,62.63,49.12,8/20/2020,0,0,0.01,99.99
15.79,60.93,46.57,8/28/2020,0,0,0.01,99.99
12.65,59.29,44.35,9/5/2020,0,0,0.04,99.96
14.59,62.56,46.81,9/13/2020,0,0,0.03,99.97
17.18,61.84,47.2,9/21/2020,0,0,0.01,99.99
14.48,62.59,46.93,9/29/2020,0,0,0.01,99.99
16.47,62.13,46.15,10/7/2020,0,0,0.23,99.77
15.82,62.12,44.7,10/15/2020,0,0,0.42,99.58
15.52,60.7,42.82,10/23/2020,0,0,0.45,99.55
15.07,58.51,41.12,10/31/2020,0,0,0.46,99.54
12.57,55.58,39.91,11/8/2020,0,0,0.5,99.5
12.24,56.05,37.21,11/16/2020,0,0,0.57,99.43
11.86,52.06,35.4,11/24/2020,0,0,0.73,99.27
9.84,51.6,32.19,12/2/2020,0,0.03,2.08,97.89
7.79,49.12,29.46,12/10/2020,0,0.06,5.33,94.61
7.15,53.31,27.58,12/18/2020,0,0.08,7.9,92.02
7.71,53.78,26.76,12/26/2020,0,0.08,9.53,90.39
7.14,54.3,25.57,1/1/2021,0,0.08,11.06,88.86
7.1,54.38,24.5,1/9/2021,0,0.08,13.67,86.25
7.1,52.6,23.42,1/17/2021,0,0.08,16.8,83.12
7.1,50.99,22.15,1/25/2021,0,0.08,21.03,78.89
7.1,50.34,21.62,2/2/2021,0,0.08,21.55,78.38
7.92,51.03,22.84,2/10/2021,0,0.04,14.18,85.79
7.36,51.63,24.45,2/18/2021,0,0.04,12.18,87.78
8.86,52.5,24.69,2/26/2021,0,0.05,11.6,88.35
9.96,49.51,23.28,3/6/2021,0,0.01,14.97,85.01
7.8,45.82,21.71,3/14/2021,0,0.05,24.2,75.75
7.93,39.6,23.71,3/22/2021,0,0.05,10.73,89.22
7.2,52.4,27.8,3/30/2021,0,0.05,9.45,90.49
11.46,54.21,30.58,4/7/2021,0,0,7.86,92.14
10.29,53.01,33.46,4/15/2021,0,0,6.87,93.13
13.36,54.41,37.59,4/23/2021,0,0,2.28,97.72
15.68,56.65,43.55,5/1/2021,0,0,0.13,99.87
