min,max,mean,date,exd,sed,mod,normal or wet
-4,2.04,-2.18,1/1/2020,62.78,12.76,7.26,17.21
-4,2.03,-1.98,1/9/2020,55.79,11.82,9.24,23.15
-4,1.84,-2.05,1/17/2020,58.15,10.15,7.79,23.9
-4,2.13,-2.32,1/25/2020,65.75,9.12,6.88,18.25
-4,3.07,-2.2,2/2/2020,59.52,10,7.03,23.45
-4,2.61,-2.28,2/10/2020,62.3,8.63,6.06,23.01
-4,1.83,-2.09,2/18/2020,57.17,10.09,7.03,25.71
-4,0.9,-1.95,2/26/2020,50.59,15.17,13.31,20.93
-4,0.69,-2.43,3/5/2020,69.89,5.97,4.68,19.46
-4,1.82,-1.86,3/13/2020,49.02,5.15,5.71,40.13
-4,1.36,-1.07,3/21/2020,28.63,6.28,7.5,57.59
-4,3.64,-0.91,3/29/2020,42.29,5.68,4.3,47.73
-4,3.01,-1.73,4/6/2020,57.19,3.02,2.73,37.06
-4,2.62,-1.73,4/14/2020,51.93,6.3,5.44,36.33
-4,3.14,-0.72,4/22/2020,19.46,6.2,8.3,66.04
-3.87,3.5,0.49,4/30/2020,8.04,5.03,6.18,80.75
-3.97,3.91,-0.25,5/8/2020,26.84,5.79,8.31,59.05
-3.97,3.85,-0.74,5/16/2020,28.43,9.06,9.47,53.04
-3.93,3.84,-1.11,5/24/2020,35.24,10.78,8.64,45.34
-3.83,3.92,-1.06,6/1/2020,29.6,14.41,14.53,41.47
-3.83,3.85,-0.29,6/9/2020,10.1,4.92,9.99,74.99
-3.59,3.14,-0.71,6/17/2020,14.56,12.33,11.97,61.14
-3.56,2.73,-0.69,6/25/2020,18.43,10.88,8.48,62.22
-3.95,2.73,-1.28,7/3/2020,31.15,8.84,11.49,48.52
-3.98,3.1,-1.15,7/11/2020,26.84,9.28,12.57,51.32
-3.99,3.39,-1.4,7/19/2020,31.58,9.34,13.13,45.95
-3.94,2.95,-1.61,7/27/2020,39.78,12.16,11.59,36.47
-3.91,3.99,-1.38,8/4/2020,39.29,10.47,9.49,40.74
-3.63,3.76,0.3,8/12/2020,11.13,7.07,8.26,73.54
-3.87,3.99,1.19,8/20/2020,3.09,2.59,5.1,89.22
-3.39,3.93,1.4,8/28/2020,0.39,0.71,1.74,97.15
-3.79,3.43,-0.55,9/5/2020,6.13,10.43,17.17,66.27
-3.96,3.42,-1.09,9/13/2020,22.02,12.29,16.1,49.59
-3.84,3.81,0.13,9/21/2020,10.01,5.29,7.27,77.43
-3.3,3.93,1.61,9/29/2020,0.71,1.21,1.44,96.65
-3.41,3.99,1.77,10/7/2020,0.44,0.97,1.5,97.09
-2.46,4,2.13,10/15/2020,0.01,0.13,0.29,99.57
-2.56,3.98,2.16,10/23/2020,0.04,0.09,0.36,99.52
-3.57,3.93,2.03,10/31/2020,0.5,0.88,2.58,96.05
-3.7,3.94,2.07,11/8/2020,0.95,1.47,2.91,94.66
-3.62,3.91,1.87,11/16/2020,0.97,1.61,2.74,94.68
-3.66,3.94,1.81,11/24/2020,1.6,2.63,3.74,92.03
-3.62,3.75,1.59,12/2/2020,3.55,3.53,4.21,88.72
-3.71,3.87,1.27,12/10/2020,7.37,4.16,3.89,84.59
-3.86,3.72,1,12/18/2020,10.61,4.04,3.72,81.62
-3.91,3.87,0.9,12/26/2020,12.49,3.98,4.13,79.4
-3.93,3.87,0.43,1/1/2021,14.35,3.13,3.69,78.84
-3.94,3.9,-0.35,1/9/2021,19.76,5.83,5.91,68.5
-3.98,3.89,-0.51,1/17/2021,21.02,7.43,6.05,65.5
-4,3.77,-0.48,1/25/2021,18.64,6.44,6.71,68.2
-4,3.74,-0.63,2/2/2021,21.51,7.87,6.96,63.65
-4,3.71,-0.44,2/10/2021,11.26,7.89,9.45,71.39
-4,3.63,0.26,2/18/2021,1.44,1.08,2.48,95.01
-3.68,3.78,0.32,2/26/2021,0.65,1.05,2.4,95.9
-3.78,3.66,-0.02,3/6/2021,2.91,3.35,5.92,87.81
-4,3.58,-1.08,3/14/2021,31.78,9.38,8.02,50.82
-4,2.27,-1.63,3/22/2021,48.41,12.01,8.29,31.3
-4,2.89,-0.04,3/30/2021,5.43,3.85,5.66,85.07
-3.94,2.99,-0.39,4/7/2021,14.6,6.68,7.79,70.92
-3.84,3.11,-0.35,4/15/2021,18.66,8.4,7.66,65.28
-3.56,3.75,0.54,4/23/2021,3.44,3.48,4.17,88.91
-2.54,3.42,1.13,5/1/2021,0.04,0.19,0.46,99.31
-2.74,3.91,2.01,5/9/2021,0.44,0.46,0.39,98.7
